chrom	start	end	measure	id	i.start	i.end	contig_id	dxy_abs	contig_length	no_overlapping_islands	dxy_rel
chr1	24542160	27417760	Fst	81	24750701	24751548	contig11466	1.0714	861	1	0.00124436701509872
chr1	24542160	27417760	Fst	81	24794686	24802970	contig59331	1.4661	1917	1	0.000764788732394366
chr1	24542160	27417760	Fst	81	24796624	24797751	contig53864	0.93929	1129	1	0.000831966341895483
chr1	24542160	27417760	Fst	81	24807161	24809406	contig54848	0.48036	2176	1	0.000220753676470588
chr1	24542160	27417760	Fst	81	24807610	24809406	contig40281	0.975	1878	1	0.000519169329073482
chr1	24542160	27417760	Fst	81	24809711	24813231	contig49040	0.50179	3449	1	0.000145488547405045
chr1	24542160	27417760	Fst	81	24818457	24819229	contig27452	2.0625	776	1	0.00265786082474227
chr1	24542160	27417760	Fst	81	24821325	24824917	contig24058	0.59464	3607	1	0.000164857222068201
chr1	24542160	27417760	Fst	81	24827980	24829448	contig23088	4.2393	1523	1	0.00278351936966513
chr1	24542160	27417760	Fst	81	24888164	24888883	contig15985	0.49286	732	1	0.000673306010928962
chr1	24542160	27417760	Fst	81	24890074	24891444	contig21330	5.6625	1527	1	0.00370825147347741
chr1	24542160	27417760	Fst	81	24916044	24923844	contig38806	1.0696	841	1	0.0012718192627824
chr1	24542160	27417760	Fst	81	24921649	24922933	contig38673	1.9429	1256	1	0.0015468949044586
chr1	24542160	27417760	Fst	81	24925139	24925849	contig38530	1.5518	719	1	0.00215827538247566
chr1	24542160	27417760	Fst	81	24925901	24928904	contig9208	13.223	3039	1	0.00435110233629483
chr1	24542160	27417760	Fst	81	24930969	24963808	contig32722	2.6286	2429	1	0.00108217373404693
chr1	24542160	27417760	Fst	81	24939231	24940483	contig30120	1.1679	1270	1	0.000919606299212598
chr1	24542160	27417760	Fst	81	24954858	24955201	contig25288	0.95714	358	1	0.00267357541899441
chr1	24542160	27417760	Fst	81	24956794	24957633	contig22489	0.5875	844	1	0.000696090047393365
chr1	24542160	27417760	Fst	81	24960220	24961131	contig26348	0.65714	890	1	0.000738359550561798
chr1	24542160	27417760	Fst	81	24965729	24988297	contig29555	0.225	3412	1	6.59437280187573e-05
chr1	24542160	27417760	Fst	81	24966599	24967707	contig4393	3.825	1105	1	0.00346153846153846
chr1	24542160	27417760	Fst	81	24969976	24971739	contig59198	3.6464	1793	1	0.00203368655883993
chr1	24542160	27417760	Fst	81	24973093	24975722	contig22110	5.0357	2611	1	0.00192864802757564
chr1	24542160	27417760	Fst	81	24976585	24978732	contig36787	11.966	2155	1	0.00555266821345708
chr1	24542160	27417760	Fst	81	24984938	24988297	contig54909	0.45536	3389	1	0.000134364119209206
chr1	24542160	27417760	Fst	81	24988362	24989023	contig39820	0.12857	733	1	0.000175402455661664
chr1	24542160	27417760	Fst	81	25563929	25564740	contig28127	2.9036	868	1	0.00334516129032258
chr1	24542160	27417760	Fst	81	25600414	25601259	contig34036	1.1821	858	1	0.00137773892773893
chr1	24542160	27417760	Fst	81	25720221	25743818	contig46887	0.14286	950	1	0.000150378947368421
chr1	24542160	27417760	Fst	81	25778108	25780902	contig60605	3.2911	2804	1	0.00117371611982882
chr1	24542160	27417760	Fst	81	25801456	25801857	contig16903	0.49107	411	1	0.00119481751824818
chr1	24542160	27417760	Fst	81	25801456	25802271	contig33907	0.51071	833	1	0.000613097238895558
chr1	24542160	27417760	Fst	81	25801456	25808136	contig25416	3.0982	668	1	0.00463802395209581
chr1	24542160	27417760	Fst	81	25823467	25824281	contig49823	1.225	921	1	0.00133007600434311
chr1	24542160	27417760	Fst	81	25872783	25873571	contig47583	0.54821	880	1	0.000622965909090909
chr1	24542160	27417760	Fst	81	25879524	25905733	contig14032	0.19643	823	1	0.000238675577156744
chr1	24542160	27417760	Fst	81	25895923	25896887	contig40900	3.8929	983	1	0.00396022380467955
chr1	24542160	27417760	Fst	81	25902958	25904207	contig23023	3.7857	1272	1	0.00297617924528302
chr1	24542160	27417760	Fst	81	25904505	25905107	contig47060	0.89643	605	1	0.00148170247933884
chr1	24542160	27417760	Fst	81	25928862	25929558	contig1303	0.94821	719	1	0.00131878998609179
chr1	24542160	27417760	Fst	81	25934793	25935155	contig33785	0.61786	366	1	0.00168814207650273
chr1	24542160	27417760	Fst	81	25935192	25935629	contig24016	1.6	436	1	0.0036697247706422
chr1	24542160	27417760	Fst	81	25935667	25951596	contig32713	0.66964	5533	1	0.000121026567865534
chr1	24542160	27417760	Fst	81	25948419	25948867	contig25686	1.4804	934	1	0.00158501070663812
chr1	24542160	27417760	Fst	81	25956004	25956392	contig31785	0.0875	389	1	0.000224935732647815
chr1	24542160	27417760	Fst	81	25957204	25957752	contig25054	1.5286	568	1	0.00269119718309859
chr1	24542160	27417760	Fst	81	25958409	25959015	contig3578	0.81786	615	1	0.00132985365853659
chr1	24542160	27417760	Fst	81	25960445	25961093	contig7849	3.6875	813	1	0.00453567035670357
chr1	24542160	27417760	Fst	81	25961093	25962045	contig40952	3.9911	993	1	0.00401923464249748
chr1	24542160	27417760	Fst	81	25963020	25963601	contig50141	2.3393	583	1	0.00401252144082333
chr1	24542160	27417760	Fst	81	25963452	25963721	contig30538	4.1411	269	1	0.0153944237918216
chr1	24542160	27417760	Fst	81	25963816	25965229	contig42176	7.6411	1420	1	0.00538105633802817
chr1	24542160	27417760	Fst	81	25975292	25989864	contig23967	3.4232	1395	1	0.00245390681003584
chr1	24542160	27417760	Fst	81	25975600	25986108	contig9549	9.8179	625	1	0.01570864
chr1	24542160	27417760	Fst	81	25979528	25980724	contig46323	1.9607	1233	1	0.00159018653690187
chr1	24542160	27417760	Fst	81	25981614	25982686	contig16473	1.2036	1010	1	0.00119168316831683
chr1	24542160	27417760	Fst	81	25986106	25986419	contig54460	14.405	312	1	0.0461698717948718
chr1	24542160	27417760	Fst	81	25997800	25998282	contig60246	0.64643	483	1	0.00133836438923395
chr1	24542160	27417760	Fst	81	26006892	26023209	contig14518	1.5446	1302	1	0.0011863287250384
chr1	24542160	27417760	Fst	81	26008724	26009612	contig36571	2.4643	820	1	0.00300524390243902
chr1	24542160	27417760	Fst	81	26009895	26010404	contig34273	0.5	503	1	0.00099403578528827
chr1	24542160	27417760	Fst	81	26010409	26012358	contig38666	11.698	1943	1	0.00602058672156459
chr1	24542160	27417760	Fst	81	26012358	26013301	contig21971	4.2768	982	1	0.00435519348268839
chr1	24542160	27417760	Fst	81	26013422	26014058	contig48264	6.6982	663	1	0.0101028657616893
chr1	24542160	27417760	Fst	81	26013631	26023985	contig3467	0.68393	1049	1	0.000651982840800763
chr1	24542160	27417760	Fst	81	26014269	26014894	contig29326	2.8304	640	1	0.0044225
chr1	24542160	27417760	Fst	81	26014907	26015460	contig58040	1.5071	566	1	0.00266272084805654
chr1	24542160	27417760	Fst	81	26014907	26015472	contig7469	1.9857	579	1	0.00342953367875648
chr1	24542160	27417760	Fst	81	26016051	26017667	contig53230	4.0518	1622	1	0.0024980271270037
chr1	24542160	27417760	Fst	81	26017764	26018953	contig60315	1.6696	1205	1	0.0013855601659751
chr1	24542160	27417760	Fst	81	26021429	26023209	contig4821	1.3286	1810	1	0.000734033149171271
chr1	24542160	27417760	Fst	81	26027866	26063797	contig40370	0	3699	1	0
chr1	24542160	27417760	Fst	81	26027866	26057834	contig43951	0.1375	1930	1	7.12435233160622e-05
chr1	24542160	27417760	Fst	81	26037606	26038253	contig10446	2.0107	692	1	0.00290563583815029
chr1	24542160	27417760	Fst	81	26055783	26063797	contig44004	0.45714	2285	1	0.000200061269146608
chr1	24542160	27417760	Fst	81	26060501	26063797	contig5330	0.042857	2156	1	1.98780148423006e-05
chr1	24542160	27417760	Fst	81	26060967	26063797	contig26223	0.98036	2798	1	0.000350378842030021
chr1	24542160	27417760	Fst	81	26068387	26086894	contig2119	1.9607	2213	1	0.000885991866244916
chr1	24542160	27417760	Fst	81	26071226	26072229	contig48485	1.3982	1093	1	0.00127923147301006
chr1	24542160	27417760	Fst	81	26081560	26086896	contig39393	3.575	2315	1	0.00154427645788337
chr1	24542160	27417760	Fst	81	26088312	26122776	contig54158	1.7536	1276	1	0.0013742946708464
chr1	24542160	27417760	Fst	81	26088315	26121227	contig31991	0.14821	1357	1	0.000109218865143699
chr1	24542160	27417760	Fst	81	26113642	26114531	contig46537	0.028571	894	1	3.19586129753915e-05
chr1	24542160	27417760	Fst	81	26183845	26203047	contig50681	0.17857	1936	1	9.22365702479339e-05
chr1	24542160	27417760	Fst	81	26183845	26203047	contig28479	0.84286	1828	1	0.000461083150984683
chr1	24542160	27417760	Fst	81	26217384	26245336	contig17191	2.3214	3207	1	0.000723854069223574
chr1	24542160	27417760	Fst	81	26248100	26248716	contig18901	0.85179	614	1	0.00138728013029316
chr1	24542160	27417760	Fst	81	26253081	26290442	contig58023	1.3357	2586	1	0.000516511987625677
chr1	24542160	27417760	Fst	81	26273433	26280362	contig8349	0.085714	495	1	0.000173159595959596
chr1	24542160	27417760	Fst	81	26409919	26410317	contig21349	0.46964	396	1	0.0011859595959596
chr1	24542160	27417760	Fst	81	26410621	26413565	contig33866	0.1	789	1	0.000126742712294043
chr1	24542160	27417760	Fst	81	26414102	26422613	contig27362	2.6518	1280	1	0.00207171875
chr1	24542160	27417760	Fst	81	26416382	26417228	contig14961	0.69821	901	1	0.000774927857935627
chr1	24542160	27417760	Fst	81	26426346	26428444	contig54557	0.26429	753	1	0.000350982735723772
chr1	24542160	27417760	Fst	81	26427606	26428239	contig48203	0.1875	612	1	0.000306372549019608
chr1	24542160	27417760	Fst	81	26505887	26508410	contig22717	0.77857	1946	1	0.000400087358684481
chr1	24542160	27417760	Fst	81	26594661	26595205	contig57144	1.95	577	1	0.00337954939341421
chr1	24542160	27417760	Fst	81	26698927	26716887	contig18804	3.1232	3491	1	0.000894643368662275
chr1	24542160	27417760	Fst	81	26723422	26724907	contig22734	0.55357	1497	1	0.000369786239144957
chr1	24542160	27417760	Fst	81	26761731	26762639	contig17635	0.34286	909	1	0.000377183718371837
chr1	24542160	27417760	Fst	81	26762936	26764600	contig12936	1.2571	1731	1	0.000726227614095898
chr1	24542160	27417760	Fst	81	26780951	26790755	contig30647	7.2536	998	1	0.00726813627254509
chr1	24542160	27417760	Fst	81	26796052	26796540	contig51507	0.17143	494	1	0.000347024291497976
chr1	24542160	27417760	Fst	81	26798403	26798933	contig30126	1.0071	584	1	0.00172448630136986
chr1	24542160	27417760	Fst	81	26803089	26803872	contig50697	1.8482	818	1	0.00225941320293399
chr1	24542160	27417760	Fst	81	26804041	26806534	contig30894	6.2071	2540	1	0.00244374015748031
chr1	24542160	27417760	Fst	81	26806565	26807694	contig35033	3.0071	1126	1	0.00267060390763766
chr1	24542160	27417760	Fst	81	26853564	26854637	contig28989	0.47143	1065	1	0.000442657276995305
chr1	24542160	27417760	Fst	81	27040237	27040821	contig31726	0.071429	604	1	0.000118259933774834
chr1	24542160	27417760	Fst	81	27065719	27066210	contig25826	0.96964	487	1	0.00199104722792608
chr1	24542160	27417760	Fst	81	27261940	27264272	contig23232	5.2321	1328	1	0.0039398343373494
chr1	24542160	27417760	Fst	81	27296039	27296451	contig16378	0.77143	426	1	0.00181086854460094
chr1	24542160	27417760	Fst	81	27296461	27297089	contig18839	1.6018	644	1	0.00248726708074534
chr1	24542160	27417760	Fst	81	27340715	27342159	contig13398	0.54821	1461	1	0.000375229295003422
chr1	24542160	27417760	Fst	81	27369786	27375363	contig2610	0.65714	4727	1	0.000139018404907975
chr1	51510640	53510640	Fst	82	52730375	52754682	contig31388	1.2232	5810	1	0.000210533562822719
chr1	51510640	53510640	Fst	82	52730375	52754682	contig9226	1.4821	5765	1	0.000257085862966175
chr1	51510640	53510640	Fst	82	52741377	52747344	contig48479	0.0875	1058	1	8.2703213610586e-05
chr1	51510640	53510640	Fst	82	52876937	52889059	contig30927	0.14286	1364	1	0.000104736070381232
chr1	51510640	53510640	Fst	82	52880504	52881144	contig44308	1.5464	647	1	0.00239010819165379
chr1	51510640	53510640	Fst	82	52889539	52890783	contig6869	1.3857	1195	1	0.00115958158995816
chr1	51510640	53510640	Fst	82	52936880	52941688	contig48629	1.2429	413	1	0.00300944309927361
chr1	51510640	53510640	Fst	82	52944117	52945764	contig58188	2.5607	1393	1	0.00183826274228284
chr1	51510640	53510640	Fst	82	53008328	53028584	contig16556	10.33	2148	1	0.00480912476722533
chr1	51510640	53510640	Fst	82	53013551	53016158	contig38196	4.1929	2626	1	0.00159668697638995
chr1	51510640	53510640	Fst	82	53016353	53017401	contig60248	0.75	1094	1	0.000685557586837294
chr1	51510640	53510640	Fst	82	53017939	53018506	contig9529	0.2	560	1	0.000357142857142857
chr1	51510640	53510640	Fst	82	53021519	53022689	contig59354	1.4554	1170	1	0.00124393162393162
chr1	51510640	53510640	Fst	82	53025123	53026713	contig13321	1.0339	1472	1	0.000702377717391304
chr1	51510640	53510640	Fst	82	53031813	53040192	contig94	3.8786	811	1	0.00478249075215783
chr1	51510640	53510640	Fst	82	53037532	53039112	contig46106	1.7839	1047	1	0.00170382043935053
chr1	51510640	53510640	Fst	82	53040606	53041700	contig16917	0.24286	1087	1	0.000223422263109476
chr1	51510640	53510640	Fst	82	53043482	53044285	contig31109	1.5071	799	1	0.00188623279098874
chr1	51510640	53510640	Fst	82	53048391	53050237	contig57158	3.3821	1855	1	0.00182323450134771
chr1	51510640	53510640	Fst	82	53050282	53065927	contig52340	0.54286	2494	1	0.00021766639935846
chr1	51510640	53510640	Fst	82	53053476	53055182	contig23084	0.45714	1689	1	0.000270657193605684
chr1	51510640	53510640	Fst	82	53276341	53277446	contig35265	0.70714	1085	1	0.000651741935483871
chr1	54837920	57888640	Fst	83	54910404	54916323	contig60837	5.4696	2385	1	0.00229333333333333
chr1	54837920	57888640	Fst	83	54939471	54943639	contig55854	0.87857	1486	1	0.000591231493943472
chr1	54837920	57888640	Fst	83	54944805	54945487	contig21634	0.56786	693	1	0.000819422799422799
chr1	54837920	57888640	Fst	83	54950328	54957315	contig38597	0.25714	1051	1	0.000244662226450999
chr1	54837920	57888640	Fst	83	54955857	54958632	contig13598	1.6054	534	1	0.0030063670411985
chr1	54837920	57888640	Fst	83	54957808	54958632	contig9229	2.55	747	1	0.0034136546184739
chr1	54837920	57888640	Fst	83	54987535	54988455	contig38458	1.0286	940	1	0.00109425531914894
chr1	54837920	57888640	Fst	83	54989279	54994233	contig30516	7.3411	1641	1	0.00447355271176112
chr1	54837920	57888640	Fst	83	55024027	55024518	contig22985	0.1	496	1	0.000201612903225806
chr1	54837920	57888640	Fst	83	55024637	55040109	contig46618	11.102	3720	1	0.00298440860215054
chr1	54837920	57888640	Fst	83	55027482	55028111	contig2592	0.51786	637	1	0.000812967032967033
chr1	54837920	57888640	Fst	83	55094227	55122965	contig15899	0.1875	1927	1	9.73015049299429e-05
chr1	54837920	57888640	Fst	83	55108389	55108842	contig42321	0.0875	448	1	0.0001953125
chr1	54837920	57888640	Fst	83	55119187	55120071	contig59603	1.05	894	1	0.0011744966442953
chr1	54837920	57888640	Fst	83	55123014	55123665	contig60298	1.4804	645	1	0.00229519379844961
chr1	54837920	57888640	Fst	83	55123670	55125424	contig34518	0.65	1143	1	0.000568678915135608
chr1	54837920	57888640	Fst	83	55123670	55125424	contig54357	10.641	1758	1	0.00605290102389078
chr1	54837920	57888640	Fst	83	55126805	55128849	contig15829	9.8732	3094	1	0.00319107950872657
chr1	54837920	57888640	Fst	83	55129781	55130291	contig39579	0.125	518	1	0.000241312741312741
chr1	54837920	57888640	Fst	83	55131424	55134414	contig34772	0.20357	1362	1	0.00014946402349486
chr1	54837920	57888640	Fst	83	55131424	55132811	contig26020	0.17857	1394	1	0.000128098995695839
chr1	54837920	57888640	Fst	83	55132909	55134414	contig32345	0.50893	516	1	0.000986298449612403
chr1	54837920	57888640	Fst	83	55145865	55146502	contig60997	2.8518	1453	1	0.00196269786648314
chr1	54837920	57888640	Fst	83	55146373	55170607	contig41681	1.1304	471	1	0.0024
chr1	54837920	57888640	Fst	83	55148814	55149801	contig39053	0.0375	976	1	3.8422131147541e-05
chr1	54837920	57888640	Fst	83	55153462	55154711	contig4030	0.9125	1246	1	0.000732343499197432
chr1	54837920	57888640	Fst	83	55172781	55173186	contig59581	0.70357	280	1	0.00251275
chr1	54837920	57888640	Fst	83	55173658	55175520	contig21394	3.9357	1931	1	0.00203816675297773
chr1	54837920	57888640	Fst	83	55176518	55177655	contig10557	3.9964	1137	1	0.00351486367634125
chr1	54837920	57888640	Fst	83	55215561	55218039	contig51243	0.81786	2519	1	0.000324676458912267
chr1	54837920	57888640	Fst	83	55215561	55218039	contig3798	0.50536	2509	1	0.00020141889198884
chr1	54837920	57888640	Fst	83	55222870	55224783	contig57596	0	988	1	0
chr1	54837920	57888640	Fst	83	55222870	55224783	contig14910	0.1	1286	1	7.77604976671851e-05
chr1	54837920	57888640	Fst	83	55239256	55253099	contig37319	3.0911	2545	1	0.00121457760314342
chr1	54837920	57888640	Fst	83	55239256	55250158	contig60237	0.14286	2142	1	6.66946778711485e-05
chr1	54837920	57888640	Fst	83	55244903	55245608	contig49947	0.3	690	1	0.000434782608695652
chr1	54837920	57888640	Fst	83	55414775	55438788	contig33175	1.5643	792	1	0.00197512626262626
chr1	54837920	57888640	Fst	83	55840060	55841470	contig1071	1.8161	1464	1	0.00124050546448087
chr1	54837920	57888640	Fst	83	55842155	55845771	contig50525	1.1232	1295	1	0.000867335907335907
chr1	54837920	57888640	Fst	83	55843609	55844468	contig38578	5.2	802	1	0.00648379052369077
chr1	54837920	57888640	Fst	83	55853601	55856969	contig37942	4.7464	3293	1	0.00144136046158518
chr1	54837920	57888640	Fst	83	55862151	55864642	contig28868	9.6964	2548	1	0.00380549450549451
chr1	54837920	57888640	Fst	83	55869422	55870107	contig33547	1.0518	690	1	0.00152434782608696
chr1	54837920	57888640	Fst	83	55870265	55870727	contig50966	0.50714	538	1	0.000942639405204461
chr1	54837920	57888640	Fst	83	55872256	55873941	contig46713	3.3107	1513	1	0.00218816920026438
chr1	54837920	57888640	Fst	83	55875527	55876050	contig60606	0.63393	515	1	0.00123093203883495
chr1	54837920	57888640	Fst	83	55875967	55876493	contig26596	0.95714	526	1	0.00181965779467681
chr1	54837920	57888640	Fst	83	55879072	55880937	contig47689	0.44286	1906	1	0.000232350472193075
chr1	54837920	57888640	Fst	83	55879072	55880937	contig8341	0.2625	1906	1	0.000137722980062959
chr1	54837920	57888640	Fst	83	55881698	55883005	contig61100	0.0375	1237	1	3.03152789005659e-05
chr1	54837920	57888640	Fst	83	55884453	55885944	contig25195	1.4268	1449	1	0.000984679089026915
chr1	54837920	57888640	Fst	83	55892015	55892499	contig59167	0.7375	495	1	0.00148989898989899
chr1	54837920	57888640	Fst	83	55899678	55900821	contig6966	0.55893	1309	1	0.000426990068754775
chr1	54837920	57888640	Fst	83	55902380	55903198	contig55127	0.14286	796	1	0.000179472361809045
chr1	54837920	57888640	Fst	83	55903178	55903590	contig4755	0.057143	419	1	0.000136379474940334
chr1	54837920	57888640	Fst	83	55906790	55907881	contig26508	1.7214	1182	1	0.00145634517766497
chr1	54837920	57888640	Fst	83	55910104	55910798	contig3736	0.47679	703	1	0.000678221906116643
chr1	54837920	57888640	Fst	83	55913732	55914588	contig24939	1.6161	857	1	0.00188576429404901
chr1	54837920	57888640	Fst	83	55927718	55928707	contig11027	0.74107	998	1	0.000742555110220441
chr1	54837920	57888640	Fst	83	55928838	55929963	contig39630	1.6304	1113	1	0.0014648697214735
chr1	54837920	57888640	Fst	83	55930074	55934055	contig42689	11.589	3971	1	0.00291840846134475
chr1	54837920	57888640	Fst	83	55934065	55935034	contig5174	0.47857	967	1	0.000494901758014478
chr1	54837920	57888640	Fst	83	55938212	55938887	contig42995	0.46607	690	1	0.000675463768115942
chr1	54837920	57888640	Fst	83	55943858	55946106	contig19011	0.89464	601	1	0.00148858569051581
chr1	54837920	57888640	Fst	83	55948757	55958779	contig2492	7.3482	1691	1	0.00434547604967475
chr1	54837920	57888640	Fst	83	56011100	56011485	contig21604	0.0375	417	1	8.99280575539568e-05
chr1	54837920	57888640	Fst	83	56018677	56019718	contig60025	2.1607	1025	1	0.002108
chr1	54837920	57888640	Fst	83	56024290	56043372	contig32379	1.5786	3857	1	0.000409281825252787
chr1	54837920	57888640	Fst	83	56035163	56036090	contig21217	1.0536	926	1	0.0011377969762419
chr1	54837920	57888640	Fst	83	56038976	56040270	contig46063	0.99643	1317	1	0.000756590736522399
chr1	54837920	57888640	Fst	83	56052490	56053464	contig57334	1.475	991	1	0.00148839556004036
chr1	54837920	57888640	Fst	83	56071578	56072032	contig42434	1.4875	456	1	0.00326206140350877
chr1	54837920	57888640	Fst	83	56079755	56087423	contig168	0.14286	615	1	0.000232292682926829
chr1	54837920	57888640	Fst	83	56084791	56085915	contig15428	2.1893	1112	1	0.00196879496402878
chr1	54837920	57888640	Fst	83	56096879	56098716	contig38947	0.71964	1442	1	0.000499056865464632
chr1	54837920	57888640	Fst	83	56102330	56103654	contig22037	1.9946	1348	1	0.00147967359050445
chr1	54837920	57888640	Fst	83	56111446	56112171	contig5614	4.7339	727	1	0.00651155433287483
chr1	54837920	57888640	Fst	83	56122453	56123102	contig43351	3.1375	791	1	0.00396649810366625
chr1	54837920	57888640	Fst	83	56123209	56124005	contig6802	1.5036	673	1	0.00223417533432392
chr1	54837920	57888640	Fst	83	56124514	56131585	contig40882	3.0089	2841	1	0.00105909890883492
chr1	54837920	57888640	Fst	83	56124551	56135527	contig55745	1.2286	2735	1	0.000449213893967093
chr1	54837920	57888640	Fst	83	56131850	56132972	contig49791	3.6232	1231	1	0.00294329813160033
chr1	54837920	57888640	Fst	83	56133298	56135527	contig16197	1.0161	796	1	0.00127650753768844
chr1	54837920	57888640	Fst	83	56212672	56213457	contig47965	1.5964	800	1	0.0019955
chr1	54837920	57888640	Fst	83	56214657	56221048	contig19659	0.14286	900	1	0.000158733333333333
chr1	54837920	57888640	Fst	83	56250605	56256373	contig47492	4.3839	2727	1	0.00160759075907591
chr1	54837920	57888640	Fst	83	56264013	56265334	contig38966	3.4714	1311	1	0.00264790236460717
chr1	54837920	57888640	Fst	83	56278401	56279232	contig26088	0.50179	838	1	0.000598794749403341
chr1	54837920	57888640	Fst	83	56285017	56285900	contig28656	2.1964	887	1	0.00247621195039459
chr1	54837920	57888640	Fst	83	56288383	56289535	contig10068	6.8929	1337	1	0.00515549738219895
chr1	54837920	57888640	Fst	83	56304339	56305105	contig59584	2.0089	788	1	0.0025493654822335
chr1	54837920	57888640	Fst	83	56329138	56330226	contig58383	1.7946	1091	1	0.00164491292392301
chr1	54837920	57888640	Fst	83	56330621	56331632	contig50696	0.52321	1005	1	0.000520606965174129
chr1	54837920	57888640	Fst	83	56338017	56339426	contig2445	5.9875	1400	1	0.00427678571428571
chr1	54837920	57888640	Fst	83	56341166	56343013	contig21723	7.9375	1803	1	0.00440238491403217
chr1	54837920	57888640	Fst	83	56345321	56346018	contig37090	1.5161	823	1	0.00184216281895504
chr1	54837920	57888640	Fst	83	56346148	56346844	contig36735	0.64821	424	1	0.00152879716981132
chr1	54837920	57888640	Fst	83	56350465	56350938	contig31567	0.05	477	1	0.00010482180293501
chr1	54837920	57888640	Fst	83	56351232	56351857	contig24586	0.65	732	1	0.000887978142076503
chr1	54837920	57888640	Fst	83	56352871	56356583	contig9164	0.72143	1112	1	0.000648767985611511
chr1	54837920	57888640	Fst	83	56556008	56556929	contig39664	3.4393	887	1	0.00387745208568207
chr1	54837920	57888640	Fst	83	56562203	56563041	contig3804	0.25	788	1	0.000317258883248731
chr1	54837920	57888640	Fst	83	56574151	56575576	contig41158	3.3054	1411	1	0.00234259390503189
chr1	54837920	57888640	Fst	83	56589213	56591976	contig60770	0.58036	2666	1	0.000217689422355589
chr1	54837920	57888640	Fst	83	56589213	56591976	contig52324	0	2439	1	0
chr1	54837920	57888640	Fst	83	56600542	56601646	contig17490	0.075	1112	1	6.74460431654676e-05
chr1	54837920	57888640	Fst	83	56623391	56624469	contig58591	1.5107	1062	1	0.00142250470809793
chr1	54837920	57888640	Fst	83	56656555	56658658	contig54289	0.65536	1428	1	0.000458935574229692
chr1	54837920	57888640	Fst	83	56662877	56663706	contig53269	1.0464	866	1	0.00120831408775982
chr1	54837920	57888640	Fst	83	56667003	56668432	contig28720	2.2411	1460	1	0.001535
chr1	54837920	57888640	Fst	83	56698888	56706947	contig50555	0.26429	1318	1	0.000200523520485584
chr1	54837920	57888640	Fst	83	56703694	56706947	contig58233	3.1	1067	1	0.00290534208059981
chr1	54837920	57888640	Fst	83	56704449	56705407	contig51759	0.1	1043	1	9.58772770853308e-05
chr1	54837920	57888640	Fst	83	56708027	56711429	contig42389	13.209	2900	1	0.0045548275862069
chr1	54837920	57888640	Fst	83	56712712	56713788	contig50060	1.1571	725	1	0.001596
chr1	54837920	57888640	Fst	83	56720331	56735803	contig59831	0.67857	1215	1	0.000558493827160494
chr1	54837920	57888640	Fst	83	56720331	56738942	contig51646	3.3393	2060	1	0.00162101941747573
chr1	54837920	57888640	Fst	83	56723953	56725313	contig37254	1.1446	1357	1	0.000843478260869565
chr1	54837920	57888640	Fst	83	56734424	56734974	contig41904	0.51964	539	1	0.000964081632653061
chr1	54837920	57888640	Fst	83	56738832	56739203	contig34541	0.46964	372	1	0.00126247311827957
